CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
8/16/24,20:13,BROOKLYN,11230,40.629986,-73.97157,"(40.629986, -73.97157)",FOSTER AVENUE,OCEAN PARKWAY,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4749005,Sedan,Bike,,,
5/25/24,2:36,QUEENS,11412,40.697052,-73.75734,"(40.697052, -73.75734)",196 STREET,115 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4727346,Station Wagon/Sport Utility Vehicle,Sedan,,,
6/26/24,14:00,BRONX,10472,40.82763,-73.855484,"(40.82763, -73.855484)",,,2019      CHATTERTON AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4738128,Sedan,,,,
4/21/24,10:45,BRONX,10460,40.850666,-73.88243,"(40.850666, -73.88243)",,,2300      SOUTHERN BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,,,,,4727790,Station Wagon/Sport Utility Vehicle,,,,
7/10/24,10:05,BROOKLYN,11212,40.660866,-73.91529,"(40.660866, -73.91529)",,,807       SARATOGA AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4750721,Sedan,Station Wagon/Sport Utility Vehicle,,,
8/24/24,20:00,Missing,,40.709827,-73.83983,"(40.709827, -73.83983)",JACKIE ROBINSON PKWY,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4750230,Chassis Cab,Station Wagon/Sport Utility Vehicle,,,
8/16/24,17:24,Missing,,,,,NOSTRAND AVENUE,,,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4750732,Station Wagon/Sport Utility Vehicle,E-Scooter,,,
8/22/24,23:13,Missing,,,,,BRONX RIVER PARKWAY,,,0,0,0,0,0,0,0,0,Steering Failure,,,,,4750764,Sedan,,,,
8/24/24,1:09,Missing,,40.823032,-73.95738,"(40.823032, -73.95738)",HENRY HUDSON PARKWAY,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,4750325,Sedan,Sedan,,,
8/24/24,1:20,Missing,,,,,WEST 180 STREET,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,4750518,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
6/26/24,14:35,Missing,,40.701027,-73.94813,"(40.701027, -73.94813)",HARRISON AVENUE,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4738715,Sedan,,,,
6/27/24,8:10,Missing,,40.700424,-73.9444,"(40.700424, -73.9444)",FLUSHING AVENUE,,,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4738746,Sedan,Bike,,,
7/5/24,2:16,Missing,,40.729996,-73.91187,"(40.729996, -73.91187)",LONG ISLAND EXPRESSWAY,,,2,0,0,0,0,0,2,0,Unspecified,,,,,4738654,Sedan,,,,
7/4/24,13:40,Missing,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,4738837,Sedan,Sedan,,,
8/19/24,23:23,Missing,,,,,G.C.P. / LAGUARDIA (CDR),,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4750785,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/20/24,17:30,MANHATTAN,10036,40.75979,-73.98792,"(40.75979, -73.98792)",W 46 ST,8 AVE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4772881,Sedan,,,,
1/5/24,17:12,Missing,,40.601948,-73.99382,"(40.601948, -73.99382)",86 STREET,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4692960,Sedan,,,,
1/4/24,5:00,Missing,,40.842358,-73.91223,"(40.842358, -73.91223)",GRAND CONCOURSE,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4692751,Sedan,,,,
1/3/24,10:45,Missing,,40.717445,-74.00354,"(40.717445, -74.00354)",BROADWAY,,,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,4693138,Sedan,Bus,,,
7/1/24,13:00,Missing,,40.598392,-73.90629,"(40.598392, -73.90629)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4739380,Sedan,Pick-up Truck,,,
7/6/24,14:30,QUEENS,11435,40.704876,-73.81279,"(40.704876, -73.81279)",143 STREET,HILLSIDE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4739262,Sedan,,,,
8/15/24,15:30,Missing,,,,,BRONX WHITESTONE BRIDGE,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4750684,Sedan,Sedan,,,
8/24/24,14:50,Missing,,40.773327,-73.76503,"(40.773327, -73.76503)",CROSS ISLAND PARKWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,,,4750849,Sedan,,,,
